Trial,AUC,learning_rate,num_attn_heads,d,dropout,Best_Trial
0,0.795313812817128,0.00012768347177164176,4,32,0.2194837792960087,1
1,0.8182679101752413,0.00041423224036208495,8,32,0.37374037310199715,1
2,0.832712150035126,0.0009374500433214873,4,128,0.4298330855865672,1
3,0.8321021558973274,0.0006953857642726385,4,128,0.2818206203898303,0
4,0.7954431899695118,0.00013879155128486835,16,32,0.3680794333659595,0
5,0.8187281359695163,0.00017010887136569323,4,64,0.46769299195458763,0
6,0.8336238230633015,0.0016893358364799757,4,128,0.36182888816800873,1
7,0.7901799464912798,0.00012742760949863247,8,32,0.3836412827804474,0
8,0.8309315744847945,0.0013448436167049517,16,128,0.4406924612329183,0
9,0.8333106488414593,0.0011487842242228314,4,128,0.38463996738898604,0
