epoch,auc,loss-mean
1,0.6277234716664765,0.59416175
2,0.6538020036190686,0.51604795
3,0.6766087055846051,0.4930983
4,0.7026889691195546,0.48336244
5,0.7175909976242281,0.47223473
6,0.733321204059993,0.4613749
7,0.7453374532288335,0.44914728
8,0.7522877276754155,0.44612414
9,0.7600003184472169,0.44124836
10,0.7655509518006163,0.43626976
11,0.7704509302757154,0.4344184
12,0.7727026225952112,0.42893767
13,0.7771221433194446,0.42623067
14,0.7793604747904561,0.4178625
15,0.7819717317233429,0.41664693
16,0.784375147543112,0.41785413
17,0.7855551133360612,0.40934235
18,0.7877230544473428,0.41105103
19,0.7881414416306333,0.40465182
20,0.7887104150027082,0.40454757
21,0.789663902118588,0.40129182
22,0.7905485767663534,0.40094846
23,0.791122447750066,0.39748228
24,0.7905373368501054,0.39479598
25,0.7905878908580976,0.39156207
26,0.7905644069127555,0.38836405
27,0.7915218285116244,0.38606703
28,0.7910010320640691,0.3859628
29,0.7907171447719247,0.38099295
30,0.7905423061840893,0.3804511
31,0.7914304337505197,0.37639326
32,0.7900712030763722,0.37171507
33,0.790212168224722,0.37027133
34,0.7892246847167631,0.36736476
35,0.7898867332020527,0.36606744
36,0.7891011890827276,0.36192107
37,0.7898849094052504,0.36397016
