epoch,auc,loss-mean
1,0.7600100379178232,0.5243106
2,0.7958439272653621,0.4642769
3,0.8116745422212102,0.44269884
4,0.8205881083049489,0.43004608
5,0.8252384626934495,0.4222256
6,0.8285128795829109,0.41689968
7,0.8319656517472698,0.41323417
8,0.8340838634985596,0.40609744
9,0.8372514853038021,0.40211293
10,0.8391290490383638,0.3976251
11,0.8419064454366829,0.39389563
12,0.8441297685607493,0.38982123
13,0.8471605290060211,0.38586494
14,0.8491217687813537,0.38121286
15,0.8504951713865486,0.37837958
16,0.8519201227237864,0.37458003
17,0.8542520686343852,0.37208188
18,0.8563487763307533,0.36740172
19,0.8575163708196185,0.36316654
20,0.8606991185386734,0.36025038
21,0.8619620166584453,0.3546516
22,0.8643658869911782,0.35213974
23,0.8664321281826217,0.3485924
24,0.8674045063927731,0.34579286
25,0.8700260863418798,0.34219182
26,0.8715038283324282,0.33859715
27,0.872598899528034,0.33580315
28,0.874793109006865,0.33083883
29,0.8767499776774879,0.3286934
30,0.8783794739384088,0.32689092
31,0.8812513741637933,0.32546893
32,0.8812803359641093,0.3206867
33,0.8825265170709373,0.31683537
34,0.8850898749656053,0.312382
35,0.8877996012175428,0.31070983
36,0.8903069437178798,0.30633998
37,0.8906816357822741,0.30503526
38,0.8953916347895747,0.30146533
39,0.8972885757684339,0.29544514
40,0.9014721366222671,0.29359812
41,0.9027373651033954,0.2898066
42,0.9039301223243296,0.2877444
43,0.905535995573752,0.2857191
44,0.9074111219355596,0.2820693
45,0.9110345154287502,0.27750155
46,0.9119819936901734,0.27460074
47,0.9154322911750524,0.27027726
48,0.9181798660821014,0.26890856
49,0.9204202246352893,0.2626661
50,0.9256222882297322,0.25900364
51,0.9260284962961541,0.25530556
52,0.9282843953914146,0.2537841
53,0.9274440460112305,0.25047383
54,0.9324943975508064,0.24439918
55,0.9369632700989828,0.2401895
56,0.9399792063567687,0.2367359
57,0.9401190401464824,0.232576
58,0.9430406041324992,0.22823103
59,0.9438260730282221,0.2275423
60,0.9460695218218661,0.22385012
61,0.9477446199918319,0.21714611
62,0.9495101810814017,0.21643002
63,0.951126875899331,0.21225868
64,0.9552037925321086,0.20970523
65,0.956168642310438,0.20493439
66,0.9540881535494987,0.20280322
67,0.9597517131235412,0.19904833
68,0.9584339986606963,0.19327873
69,0.9581834120013063,0.19248217
70,0.9622181245823578,0.19238691
71,0.9632629956513343,0.18629166
72,0.9641976911231288,0.18495278
73,0.962273418713323,0.18082047
74,0.9666117327746822,0.18042003
75,0.967897012311937,0.17499037
76,0.9677528532327907,0.17315343
77,0.9687701084888488,0.17024268
78,0.9701144478456137,0.1681088
79,0.9662627005381157,0.17468733
80,0.9671580534495059,0.17437382
81,0.9720602138382778,0.16324098
82,0.9716977047106311,0.1602155
83,0.9739689813764771,0.15754296
84,0.9727436017145679,0.15385646
85,0.973974746574626,0.15720545
86,0.9741868434922742,0.15296373
87,0.9735073898392992,0.15070568
88,0.9740602486814508,0.15219289
89,0.9749121045685376,0.14999169
90,0.9758820434424229,0.14892076
91,0.9756094821397624,0.14730437
92,0.9778669788791938,0.14433177
93,0.9765719577049696,0.14005409
94,0.9761741436518595,0.14456198
95,0.9759697175206454,0.14992878
96,0.9780110921430627,0.14311118
97,0.9777144094241367,0.13666183
98,0.9783846741687376,0.13578111
99,0.978287014323568,0.13502105
100,0.979798832408391,0.13478397
