epoch,auc,loss-mean
1,0.7580379157819379,0.5911158
2,0.7888246810033898,0.5277972
3,0.8050846872666368,0.5058021
4,0.8118289671847518,0.49316916
5,0.8168617408637574,0.4846541
6,0.8193077503545916,0.47689465
7,0.8207959085975871,0.47136968
8,0.8232682261345559,0.46594787
9,0.8242287515903837,0.4619639
10,0.8248982337850309,0.45547977
11,0.8267851579174421,0.44989645
12,0.8268069576129353,0.44547746
13,0.8274890294117516,0.4423503
14,0.8279078212337043,0.43821776
15,0.8291661743533765,0.43310776
16,0.8295361662548666,0.43008503
17,0.8303858914680948,0.42611778
18,0.8318103115037875,0.4232317
19,0.8312234506100946,0.42024255
20,0.8311082338989997,0.41651234
21,0.8297958733288441,0.41345945
22,0.8310565725059833,0.41022897
23,0.8307661522932608,0.40709686
24,0.832008447914045,0.40421766
25,0.8293009575862772,0.40176606
26,0.8314411964204929,0.3990543
27,0.8307810599527188,0.3944534
28,0.8317978102814925,0.39230415
29,0.8299570608653659,0.39129648
